date,open,close,high,low,volume,turnover
2025-03-10,20.320,20.420,20.540,20.200,281208.000,
2025-03-11,20.200,20.400,20.460,20.040,220687.000,
2025-03-12,20.410,20.460,20.720,20.310,307695.000,
2025-03-13,20.490,19.960,20.770,19.850,375542.000,
2025-03-14,19.800,20.140,20.240,19.560,325045.000,
2025-03-17,20.160,20.120,20.380,20.010,270960.000,
2025-03-18,20.160,20.300,20.450,20.150,268135.000,
2025-03-19,20.250,20.040,20.270,19.960,216628.000,
2025-03-20,20.030,19.690,20.030,19.680,213687.000,
2025-03-21,19.660,19.270,19.770,19.170,235693.000,
2025-03-24,19.240,19.400,19.460,19.010,196736.000,
2025-03-25,19.400,19.500,19.650,19.230,172689.000,
2025-03-26,19.400,19.310,19.560,19.300,133430.000,
2025-03-27,19.250,19.180,19.390,19.000,159409.000,
2025-03-28,19.180,19.000,19.300,19.000,124346.000,
2025-03-31,18.880,18.640,18.960,18.410,183378.000,
2025-04-01,18.720,18.630,18.900,18.600,130299.000,
2025-04-02,18.620,18.790,18.920,18.550,111352.000,
2025-04-03,18.570,18.580,18.840,18.470,119319.000,
2025-04-07,16.950,16.720,17.510,16.720,261234.000,
2025-04-08,16.450,16.170,16.870,15.950,339514.000,
2025-04-09,15.840,16.580,16.750,15.370,313653.000,
2025-04-10,16.890,16.770,17.250,16.770,250161.000,
2025-04-11,16.630,16.930,17.050,16.580,187539.000,
2025-04-14,17.080,17.040,17.300,16.930,203673.000,
2025-04-15,17.090,17.210,17.500,17.000,227369.000,
2025-04-16,17.140,16.820,17.190,16.600,206678.000,
2025-04-17,16.690,16.660,16.900,16.660,116448.000,
2025-04-18,16.580,16.760,16.800,16.540,103717.000,
2025-04-21,16.750,17.150,17.150,16.500,161041.000,
2025-04-22,17.090,17.030,17.160,17.000,108289.000,
2025-04-23,17.370,17.190,17.400,17.080,149580.000,
2025-04-24,17.260,17.050,17.460,17.030,187490.000,
2025-04-25,17.000,17.090,17.230,16.940,134164.000,
2025-04-28,17.050,16.740,17.060,16.700,141810.000,
2025-04-29,16.700,16.880,16.990,16.660,110958.000,
2025-04-30,16.860,17.480,17.780,16.840,330798.000,
2025-05-06,17.480,17.740,17.740,17.430,202233.000,
2025-05-07,17.980,17.660,18.050,17.520,187294.000,
2025-05-08,17.610,17.910,18.100,17.560,195500.000,
2025-05-09,17.800,17.780,17.830,17.510,150642.000,
2025-05-12,17.930,18.450,18.470,17.860,320490.000,
2025-05-13,18.660,18.220,18.660,18.180,206611.000,
2025-05-14,18.180,18.370,18.390,18.150,156703.000,
2025-05-15,18.230,17.890,18.250,17.890,153998.000,
2025-05-16,17.840,17.890,18.020,17.820,96123.000,
2025-05-19,17.830,17.920,17.930,17.600,103344.000,
2025-05-20,17.900,17.910,17.980,17.750,102735.000,
2025-05-21,17.880,18.090,18.320,17.800,256813.000,
2025-05-22,18.000,17.590,18.030,17.550,172758.000,"{'nd': '2024', 'fh_sh': '1', 'djr': '2025-05-21', 'cqr': '2025-05-22', 'FHcontent': '10派1元'}"
2025-05-23,17.510,17.210,17.850,17.210,216032.000,
2025-05-26,17.150,17.220,17.320,17.080,125678.000,
2025-05-27,17.200,17.260,17.430,17.060,113056.000,
2025-05-28,17.270,16.960,17.290,16.940,110221.000,
2025-05-29,16.900,17.150,17.180,16.880,116945.000,
2025-05-30,17.100,16.850,17.150,16.850,96929.000,
2025-06-03,16.890,17.000,17.310,16.810,139379.000,
2025-06-04,17.060,17.320,17.590,17.050,210830.000,
2025-06-05,17.320,17.320,17.360,17.080,115119.000,
2025-06-06,17.320,17.220,17.450,17.200,123213.000,
2025-06-09,17.220,17.380,17.540,17.200,149983.000,
2025-06-10,17.430,17.320,17.720,17.140,234625.000,
2025-06-11,17.270,17.500,17.750,17.240,222742.000,
2025-06-12,17.510,17.520,17.620,17.300,164819.000,
2025-06-13,17.380,17.130,17.510,17.080,179723.000,
2025-06-16,17.030,16.940,17.150,16.830,195094.000,
2025-06-17,16.950,17.110,17.320,16.900,217337.000,
2025-06-18,17.090,16.930,17.090,16.710,185837.000,
2025-06-19,16.860,16.810,17.250,16.760,204878.000,
2025-06-20,16.700,16.620,17.200,16.610,239047.000,
2025-06-23,16.520,16.950,17.040,16.500,213105.000,
2025-06-24,17.060,17.820,17.830,17.000,515045.000,
2025-06-25,17.970,18.170,18.260,17.880,445625.000,
2025-06-26,18.160,18.230,18.730,18.000,509079.000,
2025-06-27,18.300,18.090,18.670,18.040,344055.000,
2025-06-30,18.120,18.120,18.340,17.930,234634.000,
2025-07-01,18.200,17.950,18.200,17.640,264029.000,
2025-07-02,17.880,18.190,18.360,17.680,357121.000,
2025-07-03,18.200,18.950,19.200,17.890,788107.000,
2025-07-04,18.900,18.600,18.920,18.520,433628.000,
2025-07-07,18.490,18.410,18.660,18.360,226639.000,
2025-07-08,18.400,18.700,18.840,18.330,330182.000,
2025-07-09,18.700,18.350,18.710,18.290,292591.000,
2025-07-10,18.220,18.430,18.470,18.150,202216.000,
2025-07-11,18.390,18.470,18.750,18.200,316458.000,
2025-07-14,18.660,18.640,19.070,18.520,349587.000,
2025-07-15,18.580,18.400,18.720,18.240,251765.000,
2025-07-16,18.370,18.280,18.460,18.200,158850.000,
2025-07-17,18.700,19.460,19.460,18.480,783310.000,
2025-07-18,19.500,19.330,19.670,19.150,536995.000,
2025-07-21,19.330,19.200,19.370,19.080,346854.000,
2025-07-22,19.200,19.320,19.450,19.120,407427.000,
2025-07-23,19.400,19.130,19.630,19.130,466906.000,
2025-07-24,19.130,19.900,19.990,19.090,625171.000,
2025-07-25,19.910,19.840,20.370,19.820,467501.000,
2025-07-28,19.750,19.940,20.150,19.570,347897.000,
2025-07-29,19.880,19.820,20.040,19.650,283832.000,
2025-07-30,19.850,19.510,19.870,19.330,288605.000,
2025-07-31,19.360,18.890,19.510,18.790,381409.000,
2025-08-01,18.890,18.930,19.190,18.800,219172.000,
2025-08-04,18.820,18.950,18.950,18.660,195231.000,
2025-08-05,18.960,19.060,19.360,18.910,244736.000,
2025-08-06,19.050,19.460,19.800,18.950,342526.000,
2025-08-07,19.400,19.200,19.500,19.080,252282.000,
2025-08-08,19.110,18.980,19.250,18.960,197939.000,
2025-08-11,19.330,20.150,20.170,19.210,767792.000,
2025-08-12,20.060,19.820,20.070,19.580,465242.000,
2025-08-13,19.780,19.850,19.940,19.690,308825.000,
2025-08-14,19.850,19.450,19.920,19.280,337986.000,
2025-08-15,19.360,20.200,20.270,19.320,570487.000,
2025-08-18,20.440,20.480,20.680,20.290,547481.000,
2025-08-19,20.430,20.600,20.750,20.100,529128.000,
2025-08-20,20.460,20.670,20.670,20.220,420135.000,
2025-08-21,20.870,20.320,20.950,20.200,437437.000,
2025-08-22,20.220,20.410,20.570,20.160,433121.000,
2025-08-25,20.650,20.950,21.280,20.500,660405.000,
2025-08-26,20.900,20.850,20.970,20.700,350174.000,
2025-08-27,20.790,20.320,21.330,20.300,605249.000,
2025-08-28,20.220,20.480,20.560,19.810,486702.000,
2025-08-29,20.400,21.510,21.820,20.400,933162.000,
2025-09-01,21.730,21.890,22.090,21.500,781197.000,
2025-09-02,21.860,21.720,22.240,21.580,746195.000,
2025-09-03,21.890,21.820,22.340,21.560,704097.000,
2025-09-04,21.990,23.150,23.550,21.960,1454979.000,
2025-09-05,23.300,25.470,25.470,22.950,1245909.000,
2025-09-08,27.870,28.020,28.020,26.700,1562374.000,
2025-09-09,28.720,28.910,30.680,28.520,2788359.000,
2025-09-10,27.620,27.780,28.890,27.620,1923119.000,
2025-09-11,27.690,28.640,28.940,27.220,1721548.000,
2025-09-12,28.780,28.040,29.440,27.800,1465258.000,
2025-09-15,28.350,30.840,30.840,28.350,596840.000,
2025-09-16,30.800,29.870,30.980,29.120,1966509.000,
2025-09-17,30.130,29.680,30.500,29.020,1498337.000,
2025-09-18,29.320,31.270,32.200,28.690,2039796.000,
2025-09-19,31.000,31.300,32.780,30.500,1806781.000,
2025-09-22,30.980,30.240,31.560,29.730,1264527.000,
2025-09-23,30.840,31.310,31.700,30.010,1253127.000,
2025-09-24,31.180,33.350,34.290,30.400,1774184.000,
2025-09-25,33.340,32.600,34.000,32.530,1390508.000,
2025-09-26,32.110,34.170,35.000,32.110,1657753.000,
2025-09-29,35.000,37.590,37.590,35.000,2176708.000,
2025-09-30,37.000,38.170,40.100,36.480,2053407.000,
2025-10-09,38.850,38.790,39.820,37.790,1542619.000,
2025-10-10,38.000,35.320,38.180,34.910,1517235.000,
2025-10-13,33.560,37.290,37.660,33.560,1411731.000,
2025-10-14,37.400,34.560,37.690,34.290,1275678.000,
2025-10-15,35.000,34.690,35.280,33.290,973933.000,
2025-10-16,34.710,35.250,36.740,34.710,1071084.000,
2025-10-17,35.070,34.350,36.600,34.200,811458.000,
2025-10-20,35.050,34.820,36.000,33.880,822315.000,
2025-10-21,35.450,34.990,35.870,34.720,797275.000,
2025-10-22,34.650,32.920,34.810,32.790,1008960.000,
